step,loss,tps,mfu
1,12.92689,30,1.50
2,12.92633,45,2.26
3,12.92632,285,14.21
4,12.92635,286,14.27
5,12.92632,284,14.19
6,12.92645,286,14.29
7,12.92595,281,14.02
8,12.92576,281,14.03
9,12.92493,285,14.21
10,12.92416,285,14.24
11,12.92362,284,14.17
12,12.92283,285,14.23
13,12.92154,286,14.26
14,12.92136,285,14.24
15,12.91973,285,14.20
16,12.91890,285,14.21
17,12.91792,277,13.82
18,12.91511,283,14.11
19,12.91186,283,14.14
20,12.90932,271,13.52
21,12.90651,284,14.17
22,12.90363,283,14.10
23,12.90063,274,13.66
24,12.89741,280,13.97
25,12.89466,285,14.24
26,12.89132,281,14.00
27,12.88810,276,13.77
28,12.88473,286,14.28
29,12.88086,284,14.18
30,12.87729,275,13.72
31,12.87333,274,13.69
32,12.86980,280,13.98
33,12.86551,273,13.62
34,12.86224,269,13.42
35,12.85423,281,14.02
36,12.84552,280,13.97
37,12.83770,282,14.09
38,12.82839,277,13.82
39,12.82023,214,10.66
40,12.81230,253,12.62
41,12.80367,266,13.26
42,12.79480,256,12.79
43,12.78646,212,10.56
44,12.77768,263,13.12
45,12.76831,273,13.63
46,12.75930,273,13.62
47,12.75077,267,13.34
48,12.74100,269,13.44
49,12.73325,270,13.46
50,12.72392,281,14.00
51,12.71487,275,13.75
52,12.70362,284,14.17
53,12.69333,285,14.23
54,12.68233,281,14.03
55,12.67113,285,14.22
56,12.66033,277,13.82
57,12.64891,281,14.02
58,12.63785,278,13.87
59,12.62601,282,14.06
60,12.61422,285,14.21
61,12.60327,282,14.10
62,12.59185,284,14.20
63,12.58051,284,14.18
64,12.56796,271,13.52
65,12.55778,286,14.28
66,12.54448,285,14.20
67,12.53394,278,13.86
68,12.51291,284,14.17
69,12.49041,286,14.26
70,12.47054,278,13.89
71,12.44997,285,14.20
72,12.42814,283,14.14
73,12.40769,285,14.23
74,12.38576,281,14.03
75,12.36523,285,14.24
76,12.34406,285,14.23
77,12.32464,284,14.16
78,12.30335,285,14.23
79,12.28105,285,14.22
80,12.26152,280,13.98
81,12.24012,285,14.24
82,12.21977,284,14.17
83,12.19808,284,14.18
84,12.17692,286,14.27
85,12.15463,285,14.24
86,12.13427,287,14.30
87,12.11240,286,14.25
88,12.09013,287,14.33
89,12.07003,285,14.24
90,12.04819,282,14.06
91,12.02719,278,13.85
92,12.00622,285,14.20
93,11.98644,283,14.11
94,11.96689,280,13.96
95,11.94655,285,14.20
96,11.92608,280,13.96
97,11.90413,281,14.01
98,11.88462,285,14.24
99,11.86412,284,14.18
100,11.84338,284,14.19
1,12.92147,77,3.85
2,12.92227,285,14.20
3,12.92245,163,8.15
4,12.92172,193,9.65
5,12.92173,200,9.96
6,12.92207,178,8.90
7,12.92172,200,9.96
8,12.92105,198,9.90
9,12.92114,170,8.48
10,12.91972,181,9.02
11,12.91889,173,8.66
12,12.91802,186,9.30
13,12.91739,175,8.71
14,12.91675,177,8.85
15,12.91521,189,9.44
16,12.91434,165,8.23
17,12.91323,186,9.27
18,12.91016,163,8.13
19,12.90675,131,6.52
20,12.90471,163,8.14
21,12.90123,166,8.27
22,12.89876,171,8.53
23,12.89521,165,8.25
24,12.89245,147,7.35
25,12.88919,167,8.34
26,12.88601,161,8.03
27,12.88231,179,8.95
28,12.87801,193,9.64
29,12.87458,145,7.23
30,12.87110,180,8.96
31,12.86640,178,8.86
32,12.86284,179,8.95
33,12.85894,169,8.41
34,12.85482,172,8.58
35,12.84548,160,7.99
36,12.83680,165,8.24
37,12.82869,173,8.64
38,12.81872,179,8.94
39,12.80999,69,3.44
40,12.80174,29,1.46
41,12.79274,114,5.71
42,12.78404,143,7.14
43,12.77546,130,6.48
44,12.76497,122,6.07
45,12.75554,34,1.68
46,12.74633,37,1.85
47,12.73726,161,8.02
48,12.72702,146,7.26
49,12.71765,45,2.25
50,12.70751,38,1.91
51,12.69829,60,3.01
52,12.68729,123,6.14
53,12.67535,122,6.08
54,12.66497,123,6.12
55,12.65341,124,6.17
56,12.64176,115,5.73
57,12.62912,115,5.75
58,12.61774,134,6.70
59,12.60594,124,6.20
60,12.59390,136,6.79
61,12.58139,131,6.52
62,12.57032,132,6.60
63,12.55832,133,6.62
64,12.54617,159,7.93
65,12.53565,152,7.58
66,12.52049,136,6.76
67,12.51058,158,7.87
68,12.48739,148,7.38
69,12.46546,120,6.00
70,12.44401,61,3.03
71,12.42363,76,3.79
72,12.40173,115,5.74
73,12.38319,156,7.77
74,12.36336,123,6.13
75,12.34216,115,5.72
76,12.32377,115,5.74
77,12.30510,129,6.42
78,12.28387,121,6.05
79,12.26403,154,7.68
80,12.24339,142,7.09
81,12.22511,136,6.81
82,12.20587,131,6.51
83,12.18728,117,5.82
84,12.16794,123,6.13
85,12.15045,153,7.61
86,12.12889,136,6.80
87,12.10750,117,5.82
88,12.08969,143,7.13
89,12.07201,153,7.64
90,12.05158,150,7.48
91,12.03445,99,4.95
92,12.01557,63,3.15
93,11.99781,78,3.91
94,11.97793,87,4.33
95,11.95798,90,4.49
96,11.93731,99,4.92
97,11.91729,18,0.89
98,11.89803,153,7.65
99,11.87983,75,3.75
100,11.86018,82,4.08
101,11.84521,16,0.80
102,11.82147,143,7.11
103,11.79956,130,6.51
104,11.78048,102,5.08
105,11.75857,73,3.67
106,11.73663,95,4.73
107,11.71623,104,5.19
108,11.69431,133,6.64
109,11.67486,108,5.38
110,11.65133,89,4.44
111,11.62799,90,4.50
112,11.60906,169,8.43
113,11.58851,81,4.06
114,11.56373,176,8.80
115,11.54370,179,8.95
116,11.51939,152,7.58
117,11.50214,135,6.74
118,11.47764,183,9.14
119,11.45431,140,7.00
120,11.43227,164,8.17
121,11.40738,128,6.37
122,11.38403,184,9.18
123,11.35958,167,8.31
124,11.33502,160,7.99
125,11.30933,160,8.00
126,11.28629,115,5.73
127,11.26141,183,9.11
128,11.23951,163,8.14
129,11.21671,160,7.97
130,11.19192,209,10.44
131,11.16969,150,7.48
132,11.14738,150,7.49
133,11.12166,208,10.39
134,11.10197,153,7.62
135,11.06146,198,9.90
136,11.02110,165,8.25
137,10.98358,199,9.92
138,10.93979,207,10.32
139,10.89990,180,8.97
140,10.85824,174,8.71
141,10.81433,194,9.69
142,10.77507,226,11.26
143,10.72874,216,10.79
144,10.68281,187,9.32
145,10.63426,194,9.69
146,10.58524,154,7.68
147,10.54293,20,1.01
148,10.48764,29,1.47
149,10.44215,37,1.84
150,10.39188,22,1.10
151,10.34094,36,1.78
152,10.29438,20,1.02
153,10.24986,23,1.14
154,10.19973,25,1.25
155,10.15692,24,1.22
156,10.11651,20,1.01
157,10.07227,14,0.72
158,10.02740,20,0.98
159,9.98969,19,0.93
160,9.94719,15,0.76
161,9.91584,25,1.23
162,9.87097,17,0.85
163,9.83420,60,3.00
164,9.80366,126,6.26
165,9.76116,134,6.69
166,9.71743,134,6.70
167,9.68221,115,5.75
