step,loss,tps,mfu
1,12.93644,30,1.49
2,12.93637,232,11.57
3,12.93607,232,11.59
4,12.93614,238,11.85
5,12.93616,237,11.84
6,12.93600,233,11.64
7,12.93589,236,11.79
8,12.93524,232,11.56
9,12.93478,238,11.86
10,12.93426,237,11.83
11,12.93346,225,11.22
12,12.93309,236,11.75
13,12.93152,237,11.84
14,12.93060,238,11.86
15,12.93014,234,11.65
16,12.92897,231,11.53
17,12.92778,238,11.89
18,12.92458,235,11.73
19,12.92177,237,11.85
20,12.91896,236,11.76
21,12.91566,237,11.83
22,12.91247,237,11.85
23,12.90972,234,11.69
24,12.90664,237,11.85
25,12.90363,232,11.60
26,12.90043,225,11.20
27,12.89692,229,11.41
28,12.89324,238,11.90
29,12.88927,238,11.90
30,12.88578,238,11.86
31,12.88215,238,11.87
32,12.87815,239,11.92
33,12.87453,238,11.89
34,12.87073,238,11.89
35,12.86225,238,11.87
36,12.85406,238,11.90
37,12.84495,232,11.59
38,12.83656,239,11.90
39,12.82761,236,11.78
40,12.81914,237,11.82
41,12.81023,239,11.92
42,12.80182,236,11.79
43,12.79301,239,11.92
44,12.78363,238,11.85
45,12.77419,239,11.91
46,12.76578,236,11.80
47,12.75647,235,11.74
48,12.74727,236,11.79
49,12.73816,237,11.83
50,12.72880,236,11.77
51,12.71970,238,11.90
52,12.70881,239,11.92
53,12.69768,236,11.78
54,12.68690,239,11.93
55,12.67584,239,11.94
56,12.66434,236,11.75
57,12.65361,239,11.93
58,12.64246,234,11.69
59,12.63088,239,11.94
60,12.61948,235,11.72
61,12.60794,237,11.81
62,12.59611,239,11.92
63,12.58486,238,11.87
64,12.57352,239,11.92
65,12.56159,238,11.86
66,12.55027,236,11.77
67,12.53891,238,11.87
68,12.51731,239,11.92
69,12.49696,236,11.78
70,12.47551,210,10.47
71,12.45459,233,11.64
72,12.43334,239,11.92
73,12.41239,238,11.89
74,12.39157,238,11.90
75,12.37043,237,11.83
76,12.35052,233,11.64
77,12.32949,235,11.73
78,12.30853,239,11.92
79,12.28756,234,11.70
80,12.26661,232,11.60
81,12.24526,231,11.54
82,12.22361,237,11.82
83,12.20323,239,11.90
84,12.18214,238,11.87
85,12.15975,238,11.87
86,12.13801,238,11.88
87,12.11458,234,11.69
88,12.09197,235,11.74
89,12.06950,233,11.64
90,12.04646,230,11.46
91,12.02513,236,11.78
92,12.00282,236,11.76
93,11.98114,235,11.73
94,11.95799,206,10.26
95,11.93686,208,10.39
96,11.91352,215,10.73
97,11.89149,232,11.57
98,11.86893,227,11.34
99,11.84700,229,11.42
100,11.82501,214,10.69
101,11.80251,5,0.25
102,11.77656,226,11.30
103,11.75055,223,11.11
104,11.72429,197,9.82
105,11.69967,212,10.60
106,11.67101,198,9.89
107,11.64578,218,10.88
108,11.61908,215,10.71
109,11.59137,209,10.43
110,11.56246,201,10.02
111,11.53470,207,10.35
112,11.50737,212,10.57
113,11.47847,212,10.57
114,11.45138,61,3.04
115,11.42367,196,9.77
116,11.39524,213,10.61
117,11.36708,215,10.72
118,11.34085,182,9.10
119,11.31014,213,10.62
120,11.28123,223,11.12
121,11.25201,232,11.60
122,11.22492,229,11.45
123,11.19487,227,11.33
124,11.16686,220,10.98
125,11.13885,222,11.06
126,11.10842,228,11.36
127,11.08026,230,11.47
128,11.04915,225,11.25
129,11.02140,225,11.25
